rank,doc_id,filename,tier_final,comp_final,robust_t1,avg_score_carefirst,avg_score_ai_governance,avg_score_intersection,avg_score_evidentiary,intersection_clipped,contested,comp_claude,tier_claude,comp_gpt,tier_gpt,original_path
430,ca08d196c23c2bb66c9efa3d070fb4dad401477afa6f7891f17aca12bb1dfcff,2021-04-20_157586_Report_42021_21-1696_157586.pdf,2,4.7,False,7.0,2.5,4.5,5.0,True,False,5.75,2,4.35,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-04-20_157586_Report_42021_21-1696_157586.pdf
431,015ef32c31655ed5cfa8ad3d408418017cf4532a202fd6654e9fcd1e56bc9f63,2025-02-11_207453_Family_and_Social_Services_Cluster_Meeting_Transcript_25-0008_207453.pdf,2,4.7,False,5.0,4.5,4.5,5.0,False,False,4.2,2,5.2,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-02-11_207453_Family_and_Social_Services_Cluster_Meeting_Transcript_25-0008_207453.pdf
432,04d2b7a7a6b56aae172fa44a47ab630a810523b7942a04c291edc5a6bb8acf75,2025-01-07_01-07-25_Board_Meeting_Transcript_C_1175840.pdf,2,4.7,False,6.0,4.0,3.5,6.5,False,True,1.75,3,7.65,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-01-07_01-07-25_Board_Meeting_Transcript_C_1175840.pdf
433,1da84f7bc3b404dc56ba8f27e2b7953829e77bd16fbfc9a3b6b02893e08f4c6e,2021-01-26_153155_Report_13-0268_153155.pdf,2,4.7,False,6.0,4.5,5.5,1.0,False,True,2.8,3,6.6,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-01-26_153155_Report_13-0268_153155.pdf
434,24e3acd4897b2b92d4374a93d6422f65a784f00f167b1cd4c7ad6aeb44b09f4f,2025-07-01_204595_Motion_by_Supervisors_Solis_and_Horvath_Updates_Following_Cluster_25-3451_204595.pdf,2,4.7,False,6.5,2.5,4.0,7.0,False,True,7.1,1,2.3,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-07-01_204595_Motion_by_Supervisors_Solis_and_Horvath_Updates_Following_Cluster_25-3451_204595.pdf
435,74fc94cbfb322a894f3adb5757f941674fa7c00ce0b5beef503617d2cfe0ab82,2024-01-23_187695_Board_Letter_24-0238_187695.pdf,2,4.7,False,3.0,4.0,5.0,8.0,False,False,5.8,2,3.6,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-01-23_187695_Board_Letter_24-0238_187695.pdf
436,77bc79691803b96dc5fb91260fcaf6e4c3d9359f8d45de8b0297358f7a359df2,2023-12-19_186971_Report_23-4514_186971.pdf,2,4.7,False,7.0,3.5,2.5,8.0,False,False,5.8,2,3.6,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-12-19_186971_Report_23-4514_186971.pdf
437,7e03b3ce7513f4c0717133569544b20f433f61136ba231208deb836847df5839,2023-10-03_184619_Report_23-3596_184619.pdf,2,4.7,False,7.0,5.0,2.5,5.5,False,False,4.7,2,4.7,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-10-03_184619_Report_23-3596_184619.pdf
438,86fbd67d828d88a40e7ea9772a4330fe0e9de20c0dd840bb3689b9fcacf5b92a,2024-09-10_194927_Board_Letter_24-3614_194927.pdf,2,4.7,False,4.0,7.0,3.0,6.0,False,True,1.6,3,7.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-10_194927_Board_Letter_24-3614_194927.pdf
439,9ca6ccb86146a23d43d8a1540de0cabe73114340fb9daff7c890a72b53eed9ee,2025-09-02_206508_Board_Letter_25-4605_206508.pdf,2,4.7,False,7.5,2.5,3.5,6.5,False,False,5.5,2,3.9,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-09-02_206508_Board_Letter_25-4605_206508.pdf
440,ad4ff8a126be982b10a6dc8ddddc38d000ce6c23a5ab848b0fa5818023ba82d5,2024-06-24_192802_Presentation_24-2405_192802.pdf,2,4.7,False,7.5,4.5,2.5,5.5,False,False,3.3,3,6.1,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-06-24_192802_Presentation_24-2405_192802.pdf
441,b4d7993ddf8160f8f5876b1cdb28fd527318d0874eb2ae7e6456e25a390dd90a,2021-09-15_161702_HJMSK_Motion_21-3527_161702.pdf,2,4.7,False,4.0,6.5,2.5,8.0,False,True,6.55,1,2.85,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-09-15_161702_HJMSK_Motion_21-3527_161702.pdf
442,bd40475557424708648613a8c93bc5b5c2bba271c79d81f60331ead9737a1277,2021-12-07_164115_Motion_by_Supervisors_HJM_and_JH_21-4689_164115.pdf,2,4.7,False,9.0,3.5,3.0,3.5,False,False,5.3,2,4.1,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-12-07_164115_Motion_by_Supervisors_HJM_and_JH_21-4689_164115.pdf
443,ea7e0f8a22fc060a6ebf75e4e32e8ce4afb2581255e8b441a2d0fa44fb444ea1,2026-02-13_213191_Public_Safety_Cluster_Meeting_Agenda_2182026_26-0366_213191.pdf,2,4.675,False,9.0,1.5,3.5,5.5,True,False,6.55,1,3.85,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2026-02-13_213191_Public_Safety_Cluster_Meeting_Agenda_2182026_26-0366_213191.pdf
444,37f02c005e24cd32d87185e22c74ceca02ea891b4ef833f38fd07dc06b43e046,2025-05-13_202578_Public_CommentCorrespondence_25-2358_202578.pdf,2,4.675,False,4.5,4.0,6.0,3.0,True,False,4.8,2,4.9,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-05-13_202578_Public_CommentCorrespondence_25-2358_202578.pdf
445,530ed8b9a7d560a7bf55aa063214632fbd9676c28e7cbb167028ab432aeff1a6,2025-06-17_204136_Motion_by_Supervisors_Solis_and_Horvath_Updates_Following_Cluster_25-3096_204136.pdf,2,4.675,False,6.0,2.5,4.5,6.5,True,True,2.7,3,7.0,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-06-17_204136_Motion_by_Supervisors_Solis_and_Horvath_Updates_Following_Cluster_25-3096_204136.pdf
446,25e40904747cff5578b2c8f91d3f0e70f35bf2fd4db0e1ca302d353515a6f84b,2026-01-13_211821_Motion_by_Supervisors_Mitchell_and_Solis_Exempt_From_Cluster_26-0443_211821.pdf,2,4.675,False,6.5,3.5,3.0,7.5,False,True,6.7,1,2.65,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2026-01-13_211821_Motion_by_Supervisors_Mitchell_and_Solis_Exempt_From_Cluster_26-0443_211821.pdf
447,2e0452f29c45b66dacf95415f4ecea1e6aeb590a3c41f18cb1c625f8ac1b3e3d,2024-12-17_198124_Board_Letter_24-5765_198124.pdf,2,4.675,False,5.0,6.0,4.0,3.5,False,True,1.3,3,8.05,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-12-17_198124_Board_Letter_24-5765_198124.pdf
448,300964e56fe906d4fbb77e0949af7431cf008c2a24d741c7d75279b3040a5054,2024-03-19_189661_Revised_motion_by_Supervisor_Solis_24-0991_189661.pdf,2,4.675,False,7.0,5.0,2.0,6.5,False,True,6.2,1,3.15,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-03-19_189661_Revised_motion_by_Supervisor_Solis_24-0991_189661.pdf
449,44a279773d40b1e84d1317548b5f57f68d3a9c038d690f48569df658582f3639,2024-06-04_191938_Board_Letter_24-2057_191938.pdf,2,4.675,False,2.5,5.5,4.0,8.5,False,False,4.7,2,4.65,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-06-04_191938_Board_Letter_24-2057_191938.pdf
450,51f77f15e338972211640f0b5708a49a83ed2c0a90e3ee87588be0a29b7239af,2025-10-14_10-14-25_Board_Meeting_Transcript_C_1194127.pdf,2,4.675,False,4.0,5.5,4.0,6.0,False,True,1.55,3,7.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-10-14_10-14-25_Board_Meeting_Transcript_C_1194127.pdf
451,5b5128402215851b440a123e116bf665396b26c2807df48ad98e26c1a62df006,2025-10-07_207808_Board_Letter_25-5235_207808.pdf,2,4.675,False,7.0,3.0,4.5,4.0,False,False,5.6,2,3.75,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-10-07_207808_Board_Letter_25-5235_207808.pdf
452,5b6c30ea9fab759eb1f5165acb8bdb7f24caa132cabcda5992a13c45dcdcbce0,2023-09-26_184404_Report_23-3509_184404.pdf,2,4.675,False,6.0,5.0,4.0,3.5,False,False,3.75,2,5.6,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-09-26_184404_Report_23-3509_184404.pdf
453,9af3befd580f69de1e98954e74a86c6f99e6dcbef895f0984872b992c4607f2b,2021-08-10_160876_DCEO_Board_Letter_21-3185_160876.pdf,2,4.675,False,10.0,1.5,3.0,5.0,False,False,5.25,2,4.1,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-08-10_160876_DCEO_Board_Letter_21-3185_160876.pdf
454,fe2a839aa71b53be2ce189c11f8ff3197254033d4515a7e7a7340acb19120cb3,2023-07-25_182820_Motion_by_Supervisor_Mitchell_23-2728_182820.pdf,2,4.65,False,5.0,3.0,5.0,6.0,True,False,5.85,2,4.85,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-07-25_182820_Motion_by_Supervisor_Mitchell_23-2728_182820.pdf
455,0b48dce8545b080aba54215336cfa419759742169823cb8ccf173c3d73519737,2025-05-12_202907_Motion_by_Supervisors_Solis_and_Hahn_Updates_Following_Cluster_25-2341_202907.pdf,2,4.65,False,8.0,1.5,3.5,7.0,True,True,2.75,3,7.25,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-05-12_202907_Motion_by_Supervisors_Solis_and_Hahn_Updates_Following_Cluster_25-2341_202907.pdf
456,1e5d05c5df2f5964fe84150a95d021a9c60d3dcc40c4edc61838b587f9b95b86,2024-06-04_191649_August_4_2020_Pretrial_Data_Initiative_24-1871_191649.pdf,2,4.65,False,6.0,4.0,2.5,8.5,False,False,4.4,2,4.9,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-06-04_191649_August_4_2020_Pretrial_Data_Initiative_24-1871_191649.pdf
457,4c66b0af6daf1ee81045036c82800a49d45883863024b4f8de9ff2e72b79d246,2022-08-02_Statement_of_Proceedings_for_822022_1128650.pdf,2,4.65,False,3.5,3.0,5.0,8.5,False,False,4.0,2,5.3,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2022-08-02_Statement_of_Proceedings_for_822022_1128650.pdf
458,53733e2d22c10780fa3d47fb8ef6a98360e98e0ba9a01feb79e0fad5c2a174c4,2025-01-07_198853_Board_Letter_25-0146_198853.pdf,2,4.65,False,5.0,6.0,3.5,4.5,False,True,2.9,3,6.4,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-01-07_198853_Board_Letter_25-0146_198853.pdf
459,63786986371c96d5dbb4fe84bb28beda1d6529618187a224780f723cfc7bc112,2025-12-02_Statement_of_Proceedings_for_1222025_1197717.pdf,2,4.65,False,3.5,7.0,3.0,6.5,False,True,2.5,3,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-12-02_Statement_of_Proceedings_for_1222025_1197717.pdf
460,7fb91bdd57dfed2ba96248e68c735e93d8bc9de821b778c49edd30c1a6c24b34,2025-12-02_12-02-25_Board_Meeting_Transcript_1199137.pdf,2,4.65,False,5.5,4.5,4.0,5.0,False,True,1.5,3,7.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-12-02_12-02-25_Board_Meeting_Transcript_1199137.pdf
461,a4f8e816f81dd7d73bdde941f613bb5f5ef4ff0181fb2c3b34c39d73712816ba,2023-10-17_184961_Public_CommentCorrespondence_23-3716_184961.pdf,2,4.65,False,8.5,1.5,2.5,8.5,False,False,5.75,2,3.55,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-10-17_184961_Public_CommentCorrespondence_23-3716_184961.pdf
462,a6e37fce5d7e62ee56d0078a0545b724b72fedfeb96c678655c0f40a40ac8bf9,2025-09-30_09-30-25_Board_Meeting_Transcript_C_1193381.pdf,2,4.65,False,4.0,5.0,4.5,5.5,False,True,1.5,3,7.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-09-30_09-30-25_Board_Meeting_Transcript_C_1193381.pdf
463,ac293818ecd95a54a1a18bbf1da11fecf003de9330c4b28b7dca6de7acad830f,2025-10-21_10-21-25_Board_Meeting_Transcript_C_1195790.pdf,2,4.65,False,4.0,6.0,4.0,5.0,False,True,1.5,3,7.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-10-21_10-21-25_Board_Meeting_Transcript_C_1195790.pdf
464,c56d645bb73b4642aa8a532d1b91143c5435a7d024b1fb03a5bd76455fe5c2e8,2023-02-14_177712_Public_CommentCorrespondence_11-1977_177712.pdf,2,4.65,False,7.0,4.0,3.5,4.5,False,True,6.4,1,2.9,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-02-14_177712_Public_CommentCorrespondence_11-1977_177712.pdf
465,ca28e5175f7f50cc3124dc324c9354a9e2fe4cf2c0fb5fb679bf7529b9740283,2020-05-12_145641_DORP_19-4758_145641.pdf,2,4.65,False,3.5,5.5,4.5,5.5,False,False,5.25,2,4.05,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2020-05-12_145641_DORP_19-4758_145641.pdf
466,cc1eda9895bc33a1e3e67960c88adf9782751dd416cec90a4faf456341125a91,2023-03-21_178944_Revised_motion_by_Supervisors_Mitchell_and_Horvath_23-1066_178944.pdf,2,4.65,False,6.5,3.0,5.0,3.5,False,False,5.05,2,4.25,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-03-21_178944_Revised_motion_by_Supervisors_Mitchell_and_Horvath_23-1066_178944.pdf
467,d6d9014fa88ef8c7d518dd6654a5ce2be039289d189f329c019ea17eaa46a10f,2025-07-08_204690_Board_Letter_25-3495_204690.pdf,2,4.65,False,6.0,3.5,3.5,7.0,False,False,4.7,2,4.6,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-07-08_204690_Board_Letter_25-3495_204690.pdf
468,e41ddbfd191cdc627145cdd7d209d2d2cef336f60635213d3efa7b43d1c56db5,2026-02-03_212347_Motion_by_Supervisors_Hahn_and_Solis_26-0894_212347.pdf,2,4.65,False,7.0,3.0,4.0,5.0,False,False,5.95,2,3.35,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2026-02-03_212347_Motion_by_Supervisors_Hahn_and_Solis_26-0894_212347.pdf
469,e4638ba9917a865ca26c0f6466bf3fe3b48e3835d8359ffe3092b9866264b4ab,2024-12-17_199083_SOP_24-6044_199083.pdf,2,4.65,False,4.5,4.0,5.5,4.0,False,True,6.8,1,2.5,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-12-17_199083_SOP_24-6044_199083.pdf
470,ef5e780958d3e59c5d1badb5b2ee40f2f2f4a697007b9ede18e3c1d54909ad5d,2023-11-07_185223_Board_Letter_23-3860_185223.pdf,2,4.65,False,1.0,9.0,2.5,8.5,False,False,4.25,2,5.05,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-11-07_185223_Board_Letter_23-3860_185223.pdf
471,cbe7188f617d80db92d757cd5e1a05810a31ab09ada642815eb1c5e280ff8a4a,2020-07-21_147252_Public_Comment_20-3584_147252.pdf,2,4.625,False,5.5,3.5,5.5,3.0,True,False,5.3,2,4.65,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2020-07-21_147252_Public_Comment_20-3584_147252.pdf
472,8fbb3ea2ffe2ecec2e1b102bdf61b05924bc93165e849145d648a44eadaabf93,2025-11-04_209110_Revised_motion_by_Supervisor_Horvath_25-5574_209110.pdf,2,4.625,False,4.0,3.5,5.5,5.5,True,False,4.65,2,4.95,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-11-04_209110_Revised_motion_by_Supervisor_Horvath_25-5574_209110.pdf
473,1626a81c3fb0ceea95a464429e8fa0a1c2bd128b22f697425d1338f08211930d,2021-01-26_153342_Report_21-0481_153342.pdf,2,4.625,False,4.0,7.5,3.5,3.5,False,True,2.55,3,6.7,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-01-26_153342_Report_21-0481_153342.pdf
474,4dd917ab6668e6d94b6a9d3aec97d35e3f1ddad78aa8b3407668522c77cef9e6,2026-01-06_Statement_of_Proceedings_for_162026_1199790.pdf,2,4.625,False,4.0,6.0,3.5,6.0,False,True,2.45,3,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2026-01-06_Statement_of_Proceedings_for_162026_1199790.pdf
475,4e1e48a92814cded29fdb4d303a4973de2d8d58ddb0f55f5c146bdee6d448329,2025-10-14_Statement_of_Proceedings_for_10142025_1194470.pdf,2,4.625,False,4.0,6.0,3.5,6.0,False,True,2.45,3,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-10-14_Statement_of_Proceedings_for_10142025_1194470.pdf
476,9de5619ccb78aa8ef9095345f84ab88eaa79ae2f58e3777e74893db1c0face52,2023-05-10_180910_FY_2023-24_Unmet_Needs_Request_23-1801_180910.pdf,2,4.625,False,8.0,3.0,3.0,5.5,False,True,6.8,1,2.45,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-05-10_180910_FY_2023-24_Unmet_Needs_Request_23-1801_180910.pdf
477,9f8a3fbfe1206c7f283b8cd6f7ecc994507214b7a1c7f0efbfcb13caf863f29d,2025-01-14_199359_Revised_motion_by_Supervisors_Horvath_and_Solis_25-0368_199359.pdf,2,4.625,False,4.5,6.5,3.0,5.5,False,False,3.2,3,6.05,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-01-14_199359_Revised_motion_by_Supervisors_Horvath_and_Solis_25-0368_199359.pdf
478,bce7665be6d1f9fa54a7ca867e628f37583280519e44bae2746c40dca4e5b7e3,2020-07-07_146953_PUBLIC_COMMENT_20-3397_146953.pdf,2,4.625,False,7.5,3.5,3.0,5.5,False,False,5.75,2,3.5,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2020-07-07_146953_PUBLIC_COMMENT_20-3397_146953.pdf
479,c772c25087b9277a8b6e57f9c690b1efa05008000b20c23227fb563e38d159f1,2025-02-25_Statement_of_Proceedings_for_the_Public_Hearing_Meeting_held_2252025_1178834.pdf,2,4.625,False,3.5,6.5,3.5,6.0,False,True,2.45,3,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-02-25_Statement_of_Proceedings_for_the_Public_Hearing_Meeting_held_2252025_1178834.pdf
480,e103b07497fe4c6649cdc6d7270447836d3f7d2e447f7811082c82de040d90c0,2025-02-11_200627_Operations_Cluster_Meeting_Agenda_25-0008_200627.pdf,2,4.625,False,4.5,6.5,3.0,5.5,False,True,2.3,3,6.95,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-02-11_200627_Operations_Cluster_Meeting_Agenda_25-0008_200627.pdf
481,e2d944c4de0035bafae84d7f53e5ec8146271024488f0a26dc1ef39c0dd3d5fb,2024-08-13_193244_Public_CommentCorrespondence_24-2799_193244.pdf,2,4.625,False,5.0,5.0,3.5,6.0,False,True,0.75,4,8.5,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-08-13_193244_Public_CommentCorrespondence_24-2799_193244.pdf
482,e5d8a3de65a263e878f0df4ef1f331960a076877ced28021c3d7355b23dee0e4,2024-09-24_196428_SOP_24-4169_196428.pdf,2,4.625,False,3.5,6.0,3.0,8.0,False,True,2.0,3,7.25,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-24_196428_SOP_24-4169_196428.pdf
483,522fb8a5682587f124bd177978fb801b260c7eef3182007ef952e4148c5a0ca3,2021-11-16_163656_Revised_Motion_by_Supervisor_HJM_21-4475_163656.pdf,2,4.6,False,7.5,1.5,3.5,7.5,True,False,5.15,2,4.4,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-11-16_163656_Revised_Motion_by_Supervisor_HJM_21-4475_163656.pdf
484,24bf0da0788752187cd7bf252d35500391d239c3929a906a5546012888e8e69e,2024-08-06_193942_Public_CommentCorrespondence_24-3166_193942.pdf,2,4.6,False,5.0,6.0,4.0,3.0,False,True,7.9,1,1.3,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-08-06_193942_Public_CommentCorrespondence_24-3166_193942.pdf
485,2c546264de7695f575b71493a269e2cade862347e7b97bebae429dcfd279bc9b,2020-03-31_144967_DHS_REPORT_08-1665_144967.pdf,2,4.6,False,5.0,6.5,3.0,4.5,False,True,8.15,1,1.05,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2020-03-31_144967_DHS_REPORT_08-1665_144967.pdf
486,2c8a5673cdf67a41bd38fd1f9384468a1f1909c71b35fdac9098286dd75f4702,2025-06-03_202764_Board_Letter_25-2532_202764.pdf,2,4.6,False,1.5,8.5,3.0,7.0,False,False,3.75,2,5.45,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-06-03_202764_Board_Letter_25-2532_202764.pdf
487,370632ca52b353161a697d814bdede70baea963a35a2c283ddafb7b248f33aa9,2025-02-11_208950_Public_Safety_Cluster_Meeting_Agenda_10222025_25-0008_208950.pdf,2,4.6,False,9.5,1.5,2.5,6.5,False,False,5.1,2,4.1,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-02-11_208950_Public_Safety_Cluster_Meeting_Agenda_10222025_25-0008_208950.pdf
488,66fab08ea1d26a1b6fcd7fe9c9932e305661725346e39c38ff69ece17995415e,2023-06-06_181351_Revised_motion_by_Supervisors_Mitchell_and_Horvath_23-2104_181351.pdf,2,4.6,False,9.0,1.0,3.0,7.0,False,False,5.45,2,3.75,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-06-06_181351_Revised_motion_by_Supervisors_Mitchell_and_Horvath_23-2104_181351.pdf
489,811e896dab7c2407d2960ff49399b7db6a15e1b0aeea4d6f685368682d494725,2021-04-06_155209_Report_21-1464_155209.pdf,2,4.6,False,5.0,5.5,3.5,5.0,False,True,2.6,3,6.6,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-04-06_155209_Report_21-1464_155209.pdf
490,a1866f93845e773af6f1b3531a6dc7994cdc6745fa00f8e4467dd676a024e3b7,2026-01-13_Statement_of_Proceedings_for_1132026_1200555.pdf,2,4.6,False,4.0,6.0,3.0,7.0,False,True,2.4,3,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2026-01-13_Statement_of_Proceedings_for_1132026_1200555.pdf
491,bd9fcc5f1c7148b5dd297c81ff8e3810b5049e40b5f4b034131d0f3d8e263b56,1._STOP_Executed_Contract__640-18-015-_CEMS.pdf,2,4.6,False,4.0,5.0,3.5,7.5,False,True,2.5,3,6.7,1,C:\Users\Matheus.Ligeiro\Claude Code\Policy Research\Batch 2\Public Record Request\1._STOP_Executed_Contract__640-18-015-_CEMS.pdf
492,c4acf0268ff6634c0483fbc7dbdec526758eb7f64300030ff3b79b955ee85c49,2024-12-17_198358_Board_Letter_24-5894_198358.pdf,2,4.6,False,6.5,3.0,4.0,5.5,False,False,4.65,2,4.55,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-12-17_198358_Board_Letter_24-5894_198358.pdf
493,ce1cb03827d432a9537a8c49ea3f0b0939827859de1bf9ee255e46c2508524b6,2024-09-10_194839_Board_Letter_24-3653_194839.pdf,2,4.6,False,7.0,2.0,3.5,7.5,False,False,5.9,2,3.3,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-10_194839_Board_Letter_24-3653_194839.pdf
494,fbfef5e03f51415d7958e64b04637c72a75daa29941effac4a82acf56056d0cc,2024-10-01_195378_Public_CommentCorrespondece_II_24-3498_195378.pdf,2,4.6,False,5.0,5.0,4.5,3.5,False,True,0.6,4,8.6,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-10-01_195378_Public_CommentCorrespondece_II_24-3498_195378.pdf
495,aa4e998de0d005f18073098b89c6fa986d6339027df5754ab6fd1b4d80d5e72a,2021-05-18_158390_HM_Motion_21-2100_158390.pdf,2,4.575,False,6.5,2.5,4.5,5.0,True,False,5.05,2,5.5,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-05-18_158390_HM_Motion_21-2100_158390.pdf
496,384e3a3cfa1b8f641535aced9811ddec06b6250aa048b52a24300aa91ffaaa21,2023-11-21_185901_Board_Letter_23-4168_185901.pdf,2,4.575,False,6.5,2.0,4.0,7.0,True,False,4.8,2,5.05,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-11-21_185901_Board_Letter_23-4168_185901.pdf
497,11f8fd7101dbc5a029b3c2ce322ea71e495de9ae736fdb28ff54f79eb7b8df40,2025-02-18_199996_Board_Letter_25-0843_199996.pdf,2,4.575,False,4.0,3.5,4.5,7.5,False,False,5.75,2,3.4,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-02-18_199996_Board_Letter_25-0843_199996.pdf
498,1c11b68f91542aa7dbf6adacc9058369ed62ae4fafa84a91980d14a5c846e9b1,2022-06-28_170396_Motion_by_Supervisor_Kuehl_22-2453_170396.pdf,2,4.575,False,5.5,4.0,5.0,3.0,False,True,2.4,3,6.75,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2022-06-28_170396_Motion_by_Supervisor_Kuehl_22-2453_170396.pdf
499,3ad13189b87a46b70552944e0f68619fc75039687707da2ab6623a6f8d2f4fcb,2022-06-27_170173_Board_Letter_22-2425_170173.pdf,2,4.575,False,8.0,1.5,3.5,6.5,False,False,4.7,2,4.45,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2022-06-27_170173_Board_Letter_22-2425_170173.pdf
500,4898945555198c05cddc9d2e5c7e39773579f99f13765218f31aff347a548682,2025-11-04_Statement_of_Proceedings_for_1142025_1196062.pdf,2,4.575,False,4.5,3.5,3.5,9.0,False,True,2.35,3,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-11-04_Statement_of_Proceedings_for_1142025_1196062.pdf
501,7301e2de72f9a717f4ca06e4672ef77f814fbfce9d37d4e440fcd46772fb9a23,2024-12-17_198568_Motion_by_Supervisors_Barger_and_Solis_24-6044_198568.pdf,2,4.575,False,6.0,5.0,3.5,4.0,False,True,1.3,3,7.85,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-12-17_198568_Motion_by_Supervisors_Barger_and_Solis_24-6044_198568.pdf
